14:46:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162327,\n"message":{"message_id":377,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799185,"text":"57"}}]}'"
14:46:25 | DEBUG | start_polling: 395 | Received 1 updates.
14:46:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162328, 'timeout': 20}" and files "None"
14:46:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162328,\n"message":{"message_id":378,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799187,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}'"
14:46:27 | DEBUG | start_polling: 395 | Received 1 updates.
14:46:27 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'Привет Sasha, я бот который отправит тебе твое же сообщение'}" and files "None"
14:46:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162329, 'timeout': 20}" and files "None"
14:46:27 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":379,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799187,"text":"\\u041f\\u0440\\u0438\\u0432\\u0435\\u0442 Sasha, \\u044f \\u0431\\u043e\\u0442 \\u043a\\u043e\\u0442\\u043e\\u0440\\u044b\\u0439 \\u043e\\u0442\\u043f\\u0440\\u0430\\u0432\\u0438\\u0442 \\u0442\\u0435\\u0431\\u0435 \\u0442\\u0432\\u043e\\u0435 \\u0436\\u0435 \\u0441\\u043e\\u043e\\u0431\\u0449\\u0435\\u043d\\u0438\\u0435"}}'"
14:46:27 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'Можешь узнать дату'}" and files "None"
14:46:27 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":380,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799187,"text":"\\u041c\\u043e\\u0436\\u0435\\u0448\\u044c \\u0443\\u0437\\u043d\\u0430\\u0442\\u044c \\u0434\\u0430\\u0442\\u0443"}}'"
14:46:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:46:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162329, 'timeout': 20}" and files "None"
14:46:56 | INFO | stop_polling: 433 | Stop polling...
14:46:56 | WARNING | start_polling: 329 | Goodbye!
14:47:11 | DEBUG | __init__: 623 | Using proactor: IocpProactor
14:47:11 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
14:47:11 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
14:47:11 | INFO | _welcome: 362 | Bot: borisenkotest [@boriseno_test_bot]
14:47:11 | INFO | start_polling: 358 | Start polling.
14:47:11 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
14:47:11 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
14:47:11 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
14:47:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162329,\n"message":{"message_id":381,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799234,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}'"
14:47:14 | DEBUG | start_polling: 395 | Received 1 updates.
14:47:14 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'Привет Sasha, я бот который отправит тебе твое же сообщение'}" and files "None"
14:47:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162330, 'timeout': 20}" and files "None"
14:47:14 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":382,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799234,"text":"\\u041f\\u0440\\u0438\\u0432\\u0435\\u0442 Sasha, \\u044f \\u0431\\u043e\\u0442 \\u043a\\u043e\\u0442\\u043e\\u0440\\u044b\\u0439 \\u043e\\u0442\\u043f\\u0440\\u0430\\u0432\\u0438\\u0442 \\u0442\\u0435\\u0431\\u0435 \\u0442\\u0432\\u043e\\u0435 \\u0436\\u0435 \\u0441\\u043e\\u043e\\u0431\\u0449\\u0435\\u043d\\u0438\\u0435"}}'"
14:47:14 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'Можешь узнать дату'}" and files "None"
14:47:15 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":383,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799234,"text":"\\u041c\\u043e\\u0436\\u0435\\u0448\\u044c \\u0443\\u0437\\u043d\\u0430\\u0442\\u044c \\u0434\\u0430\\u0442\\u0443"}}'"
14:47:35 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:47:35 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162330, 'timeout': 20}" and files "None"
14:47:55 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:47:55 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162330, 'timeout': 20}" and files "None"
14:48:15 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:48:15 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162330, 'timeout': 20}" and files "None"
14:48:35 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:48:35 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162330, 'timeout': 20}" and files "None"
14:48:46 | INFO | stop_polling: 433 | Stop polling...
14:48:46 | WARNING | start_polling: 329 | Goodbye!
14:53:12 | DEBUG | __init__: 623 | Using proactor: IocpProactor
14:53:12 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
14:53:12 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
14:53:12 | INFO | _welcome: 362 | Bot: borisenkotest [@boriseno_test_bot]
14:53:12 | INFO | start_polling: 358 | Start polling.
14:53:12 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
14:53:12 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
14:53:12 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
14:53:19 | INFO | stop_polling: 433 | Stop polling...
14:53:19 | WARNING | start_polling: 329 | Goodbye!
14:53:21 | DEBUG | __init__: 623 | Using proactor: IocpProactor
14:53:21 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
14:53:21 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
14:53:21 | INFO | _welcome: 362 | Bot: borisenkotest [@boriseno_test_bot]
14:53:21 | INFO | start_polling: 358 | Start polling.
14:53:21 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
14:53:21 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
14:53:21 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
14:53:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162330,\n"message":{"message_id":384,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799605,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}'"
14:53:25 | DEBUG | start_polling: 395 | Received 1 updates.
14:53:25 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'Привет Sasha, я бот который отправит тебе твое же сообщение', 'reply_markup': '{"keyboard": [[{"text": "Пожелание доброго утра"}], [{"text": "Пожелание доброй ночи"}]]}'}" and files "None"
14:53:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162331, 'timeout': 20}" and files "None"
14:53:25 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":385,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799605,"text":"\\u041f\\u0440\\u0438\\u0432\\u0435\\u0442 Sasha, \\u044f \\u0431\\u043e\\u0442 \\u043a\\u043e\\u0442\\u043e\\u0440\\u044b\\u0439 \\u043e\\u0442\\u043f\\u0440\\u0430\\u0432\\u0438\\u0442 \\u0442\\u0435\\u0431\\u0435 \\u0442\\u0432\\u043e\\u0435 \\u0436\\u0435 \\u0441\\u043e\\u043e\\u0431\\u0449\\u0435\\u043d\\u0438\\u0435"}}'"
14:53:25 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'Можешь узнать дату'}" and files "None"
14:53:25 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":386,"from":{"id":5412674596,"is_bot":true,"first_name":"borisenkotest","username":"boriseno_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799605,"text":"\\u041c\\u043e\\u0436\\u0435\\u0448\\u044c \\u0443\\u0437\\u043d\\u0430\\u0442\\u044c \\u0434\\u0430\\u0442\\u0443"}}'"
14:53:28 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162331,\n"message":{"message_id":387,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799607,"text":"\\u041f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0439 \\u043d\\u043e\\u0447\\u0438"}}]}'"
14:53:28 | DEBUG | start_polling: 395 | Received 1 updates.
14:53:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162332, 'timeout': 20}" and files "None"
14:53:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":554162332,\n"message":{"message_id":388,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799609,"text":"\\u041f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0433\\u043e \\u0443\\u0442\\u0440\\u0430"}}]}'"
14:53:29 | DEBUG | start_polling: 395 | Received 1 updates.
